,precision,recall,f1-score,support
label_10370003,0.3221343873517787,0.8956043956043956,0.4738372093023256,182.0
label_106068003,0.0,0.0,0.0,31.0
label_111288001,0.0,0.0,0.0,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.08520179372197309,0.27941176470588236,0.13058419243986255,68.0
label_13640000,0.07692307692307693,0.631578947368421,0.13714285714285715,19.0
label_164865005,0.10526315789473684,0.7777777777777778,0.18543046357615894,18.0
label_164873001,0.156794425087108,0.7563025210084033,0.2597402597402597,119.0
label_164889003,0.16804979253112035,0.8901098901098901,0.28272251308900526,273.0
label_164890007,0.6169206516027326,0.9407051282051282,0.7451602665820375,1248.0
label_164896001,0.42105263157894735,1.0,0.5925925925925926,8.0
label_164909002,0.17415730337078653,0.8378378378378378,0.28837209302325584,37.0
label_164912004,0.0189873417721519,0.12,0.03278688524590164,25.0
label_164917005,0.15971515768056968,0.8820224719101124,0.2704565030146425,178.0
label_164930006,0.10782241014799154,0.7786259541984732,0.1894150417827298,131.0
label_164931005,0.08571428571428572,0.48,0.14545454545454545,25.0
label_164934002,0.33756166314305847,0.9097815764482431,0.4924184014392187,1053.0
label_164937009,0.0,0.0,0.0,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.04935064935064935,0.475,0.08941176470588236,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.0,0.0,0.0,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.0,0.0,0.0,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.0872093023255814,0.40540540540540543,0.14354066985645933,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.09099018733273863,0.6986301369863014,0.16101026045777428,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.3333333333333333,0.5,0.4,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.125,0.6363636363636364,0.208955223880597,11.0
label_251199005,0.14465408805031446,0.6764705882352942,0.23834196891191708,34.0
label_251205003,0.0,0.0,0.0,17.0
label_251223006,0.10638297872340426,0.625,0.18181818181818182,32.0
label_270492004,0.06587112171837708,0.8023255813953488,0.12174680194089105,172.0
label_27885002,0.029411764705882353,0.07692307692307693,0.0425531914893617,13.0
label_284470004,0.06275510204081633,0.640625,0.11431226765799256,192.0
