,precision,recall,f1-score,support
label_10370003,0.8516129032258064,0.7252747252747253,0.7833827893175074,182.0
label_106068003,0.1935483870967742,0.1935483870967742,0.1935483870967742,31.0
label_111288001,0.0,0.0,0.0,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.05714285714285714,0.29411764705882354,0.09569377990430622,68.0
label_13640000,0.09803921568627451,0.5263157894736842,0.1652892561983471,19.0
label_164865005,0.17391304347826086,0.4444444444444444,0.25,18.0
label_164873001,0.2782608695652174,0.5378151260504201,0.3667621776504298,119.0
label_164889003,0.15844838921762,0.8827838827838828,0.2686733556298774,273.0
label_164890007,0.6573301549463647,0.8838141025641025,0.7539302802460697,1248.0
label_164896001,0.3333333333333333,1.0,0.5,8.0
label_164909002,0.1981981981981982,0.5945945945945946,0.2972972972972973,37.0
label_164912004,0.03125,0.16,0.05228758169934641,25.0
label_164917005,0.5,0.43258426966292135,0.463855421686747,178.0
label_164930006,0.3068181818181818,0.4122137404580153,0.3517915309446254,131.0
label_164931005,0.06451612903225806,0.16,0.09195402298850575,25.0
label_164934002,0.5173477255204317,0.6372269705603039,0.571063829787234,1053.0
label_164937009,0.022988505747126436,0.08,0.03571428571428571,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.14285714285714285,0.25,0.18181818181818182,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.011627906976744186,0.1111111111111111,0.021052631578947368,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.0,0.0,0.0,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.1125,0.24324324324324326,0.15384615384615385,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.15734265734265734,0.3082191780821918,0.20833333333333334,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.05555555555555555,1.0,0.10526315789473684,2.0
label_251170000,0.005917159763313609,0.1111111111111111,0.011235955056179775,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.1388888888888889,0.45454545454545453,0.2127659574468085,11.0
label_251199005,0.15894039735099338,0.7058823529411765,0.2594594594594595,34.0
label_251205003,0.0,0.0,0.0,17.0
label_251223006,0.16279069767441862,0.21875,0.18666666666666668,32.0
label_270492004,0.11468812877263582,0.3313953488372093,0.17040358744394618,172.0
label_27885002,0.08,0.15384615384615385,0.10526315789473684,13.0
label_284470004,0.12276785714285714,0.2864583333333333,0.171875,192.0
label_29320008,0.06722689075630252,0.36363636363636365,0.11347517730496454,22.0
label_365413008,0.18435754189944134,0.32038834951456313,0.23404255319148937,103.0
label_39732003,0.486810551558753,0.8055555555555556,0.6068759342301944,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.2,0.18181818181818182,0.19047619047619047,11.0
label_426177001,0.8589306029579067,0.9271387638149816,0.8917322834645669,2443.0
label_426183003,0.0,0.0,0.0,2.0
label_426627000,0.0,0.0,0.0,2.0
label_426648003,0.0,0.0,0.0,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.6493506493506493,0.46296296296296297,0.5405405405405406,108.0
label_426783006,0.5279583875162549,0.6543110394842868,0.5843828715365239,1241.0
label_426995002,0.029850746268656716,0.2222222222222222,0.05263157894736842,9.0
label_427084000,0.7787689562890276,0.8378119001919386,0.8072122052704577,1042.0
label_427172004,0.3225806451612903,0.45161290322580644,0.3763440860215054,155.0
label_427393009,0.27977315689981097,0.3967828418230563,0.328159645232816,373.0
label_428417006,0.21794871794871795,0.3090909090909091,0.2556390977443609,55.0
label_428750005,0.16857142857142857,0.3390804597701149,0.22519083969465647,174.0
label_429622005,0.35232067510548526,0.620817843866171,0.44952893674293404,269.0
label_445118002,0.3333333333333333,0.7090909090909091,0.45348837209302323,55.0
label_445211001,0.0,0.0,0.0,2.0
label_446358003,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
label_446813000,0.0,0.0,0.0,3.0
label_47665007,0.5214285714285715,0.5658914728682171,0.5427509293680297,129.0
label_49578007,0.0,0.0,0.0,1.0
label_50799005,0.046875,0.75,0.08823529411764706,4.0
label_54016002,0.0,0.0,0.0,5.0
label_54329005,0.2222222222222222,0.25,0.23529411764705882,8.0
label_55827005,0.4025423728813559,0.472636815920398,0.43478260869565216,804.0
label_55930002,0.4447058823529412,0.5788667687595712,0.5029940119760479,653.0
label_5609005,0.0,0.0,0.0,8.0
label_57054005,0.4,0.14285714285714285,0.21052631578947367,14.0
label_59118001,0.3010752688172043,0.9333333333333333,0.45528455284552843,90.0
label_59931005,0.38461538461538464,0.5926724137931034,0.46649703138252757,464.0
label_61277005,0.125,0.3333333333333333,0.18181818181818182,3.0
label_61721007,0.19444444444444445,0.3146067415730337,0.24034334763948498,89.0
label_63593006,0.0,0.0,0.0,0.0
label_6374002,0.21323529411764705,0.4603174603174603,0.2914572864321608,63.0
label_65778007,0.0,0.0,0.0,1.0
label_67741000119109,0.0,0.0,0.0,0.0
label_67751000119106,0.0,0.0,0.0,3.0
label_698252002,0.09343434343434344,0.31092436974789917,0.1436893203883495,119.0
label_713422000,0.06593406593406594,0.13333333333333333,0.08823529411764706,45.0
label_713426002,0.20833333333333334,0.35714285714285715,0.2631578947368421,42.0
label_713427006,0.5362903225806451,0.9172413793103448,0.6768447837150128,145.0
label_733534002,0.6153846153846154,0.7441860465116279,0.6736842105263158,43.0
label_74390002,0.0375,0.42857142857142855,0.06896551724137931,7.0
label_75532003,0.16666666666666666,0.14285714285714285,0.15384615384615385,7.0
label_77867006,0.0,0.0,0.0,2.0
label_81898007,0.34782608695652173,0.6666666666666666,0.45714285714285713,12.0
label_89792004,0.19148936170212766,0.9,0.3157894736842105,20.0
micro avg,0.4332425068119891,0.6697254606995111,0.5261323012379236,13295.0
macro avg,0.1845752816328695,0.322430685653906,0.21537948244241775,13295.0
weighted avg,0.5264670346068752,0.6697254606995111,0.5782481673381851,13295.0
samples avg,0.5537042163342686,0.7302100810258201,0.5895419610248048,13295.0
