,precision,recall,f1-score,support
label_10370003,0.8627450980392157,0.967032967032967,0.9119170984455959,182.0
label_106068003,0.25510204081632654,0.8064516129032258,0.3875968992248062,31.0
label_111288001,0.5,1.0,0.6666666666666666,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.1292517006802721,0.27941176470588236,0.17674418604651163,68.0
label_13640000,0.09009009009009009,0.5263157894736842,0.15384615384615385,19.0
label_164865005,0.18309859154929578,0.7222222222222222,0.29213483146067415,18.0
label_164873001,0.22794117647058823,0.7815126050420168,0.35294117647058826,119.0
label_164889003,0.20728744939271254,0.9377289377289377,0.3395225464190981,273.0
label_164890007,0.721080446271286,0.9839743589743589,0.8322602507624534,1248.0
label_164896001,0.47058823529411764,1.0,0.64,8.0
label_164909002,0.1794871794871795,0.7567567567567568,0.29015544041450775,37.0
label_164912004,0.08080808080808081,0.32,0.12903225806451613,25.0
label_164917005,0.29118773946360155,0.8539325842696629,0.4342857142857143,178.0
label_164930006,0.20084566596194503,0.7251908396946565,0.31456953642384106,131.0
label_164931005,0.05511811023622047,0.28,0.09210526315789473,25.0
label_164934002,0.4242286751361162,0.8879392212725546,0.5741479889468837,1053.0
label_164937009,0.08641975308641975,0.28,0.1320754716981132,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0196078431372549,0.14285714285714285,0.034482758620689655,7.0
label_17338001,0.1652892561983471,0.5,0.2484472049689441,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.061224489795918366,0.3333333333333333,0.10344827586206896,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.125,0.5,0.2,4.0
label_233897008,0.058823529411764705,0.25,0.09523809523809523,4.0
label_233917008,0.10734463276836158,0.5135135135135135,0.17757009345794392,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.16766467065868262,0.5753424657534246,0.2596599690880989,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.13513513513513514,0.45454545454545453,0.20833333333333334,11.0
label_251199005,0.16129032258064516,0.4411764705882353,0.23622047244094488,34.0
label_251205003,0.07865168539325842,0.4117647058823529,0.1320754716981132,17.0
label_251223006,0.1417910447761194,0.59375,0.2289156626506024,32.0
label_270492004,0.44281524926686217,0.877906976744186,0.5886939571150097,172.0
label_27885002,0.10714285714285714,0.46153846153846156,0.17391304347826086,13.0
label_284470004,0.1455981941309255,0.671875,0.23933209647495363,192.0
label_29320008,0.19047619047619047,0.7272727272727273,0.3018867924528302,22.0
label_365413008,0.16036036036036036,0.8640776699029126,0.270516717325228,103.0
label_39732003,0.41696750902527074,0.9166666666666666,0.5732009925558312,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.2,0.6363636363636364,0.30434782608695654,11.0
label_426177001,0.9235521235521236,0.9791240278346296,0.9505265249354262,2443.0
label_426183003,0.0,0.0,0.0,2.0
label_426627000,0.3333333333333333,0.5,0.4,2.0
label_426648003,0.14285714285714285,0.25,0.18181818181818182,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.5130890052356021,0.9074074074074074,0.6555183946488294,108.0
label_426783006,0.6911332941867293,0.9484286865431104,0.7995923913043478,1241.0
label_426995002,0.03305785123966942,0.4444444444444444,0.06153846153846154,9.0
