,precision,recall,f1-score,support
label_10370003,0.4540229885057471,0.8681318681318682,0.5962264150943396,182.0
label_106068003,0.0,0.0,0.0,31.0
label_111288001,0.0,0.0,0.0,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.10714285714285714,0.04411764705882353,0.0625,68.0
label_13640000,0.11267605633802817,0.42105263157894735,0.17777777777777778,19.0
label_164865005,0.17307692307692307,0.5,0.2571428571428571,18.0
label_164873001,0.15761821366024517,0.7563025210084033,0.2608695652173913,119.0
label_164889003,0.15844838921762,0.8827838827838828,0.2686733556298774,273.0
label_164890007,0.5822846079380445,0.9639423076923077,0.7260108630054315,1248.0
label_164896001,0.2962962962962963,1.0,0.45714285714285713,8.0
label_164909002,0.1497584541062802,0.8378378378378378,0.2540983606557377,37.0
label_164912004,0.0136986301369863,0.04,0.02040816326530612,25.0
label_164917005,0.15862068965517243,0.9044943820224719,0.269907795473596,178.0
label_164930006,0.12383488681757657,0.7099236641221374,0.2108843537414966,131.0
label_164931005,0.08163265306122448,0.16,0.10810810810810811,25.0
label_164934002,0.4069284064665127,0.8366571699905033,0.5475450590428838,1053.0
label_164937009,0.043478260869565216,0.04,0.041666666666666664,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.0873015873015873,0.275,0.13253012048192772,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.0,0.0,0.0,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.0,0.0,0.0,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.1125,0.24324324324324326,0.15384615384615385,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.10942956926658906,0.6438356164383562,0.18706467661691542,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.25,0.5,0.3333333333333333,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.1,0.6363636363636364,0.1728395061728395,11.0
label_251199005,0.2,0.6470588235294118,0.3055555555555556,34.0
label_251205003,0.0,0.0,0.0,17.0
label_251223006,0.11052631578947368,0.65625,0.1891891891891892,32.0
label_270492004,0.09906152241918666,0.5523255813953488,0.16799292661361626,172.0
label_27885002,0.043478260869565216,0.23076923076923078,0.07317073170731707,13.0
label_284470004,0.12276785714285714,0.2864583333333333,0.171875,192.0
label_29320008,0.08247422680412371,0.36363636363636365,0.13445378151260504,22.0
label_365413008,0.141287284144427,0.8737864077669902,0.24324324324324326,103.0
label_39732003,0.3422913719943423,0.9603174603174603,0.5046923879040668,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.08823529411764706,0.5454545454545454,0.1518987341772152,11.0
label_426177001,0.7944239166946591,0.9680720425706099,0.8726937269372693,2443.0
label_426183003,0.0,0.0,0.0,2.0
label_426627000,0.0,0.0,0.0,2.0
label_426648003,0.0,0.0,0.0,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.2993827160493827,0.8981481481481481,0.44907407407407407,108.0
label_426783006,0.42514718250630784,0.814665592264303,0.558717877866814,1241.0
label_426995002,0.0,0.0,0.0,9.0
label_427084000,0.675231977159172,0.9078694817658349,0.7744576340564879,1042.0
label_427172004,0.19784172661870503,0.7096774193548387,0.30942334739803096,155.0
label_427393009,0.187015503875969,0.517426273458445,0.27473309608540925,373.0
label_428417006,0.1237785016286645,0.6909090909090909,0.20994475138121546,55.0
label_428750005,0.14915693904020752,0.6609195402298851,0.24338624338624337,174.0
label_429622005,0.23395445134575568,0.8401486988847584,0.3659919028340081,269.0
label_445118002,0.1953125,0.9090909090909091,0.3215434083601286,55.0
label_445211001,0.0,0.0,0.0,2.0
label_446358003,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
label_446813000,0.0,0.0,0.0,3.0
label_47665007,0.28433734939759037,0.9147286821705426,0.4338235294117647,129.0
label_49578007,0.0,0.0,0.0,1.0
label_50799005,0.0379746835443038,0.75,0.07228915662650602,4.0
label_54016002,0.0,0.0,0.0,5.0
label_54329005,0.05357142857142857,0.375,0.09375,8.0
label_55827005,0.3011923276308968,0.722636815920398,0.42517380168313207,804.0
label_55930002,0.30843237125070744,0.8346094946401225,0.45041322314049587,653.0
label_5609005,0.2,0.25,0.2222222222222222,8.0
label_57054005,0.2413793103448276,0.5,0.32558139534883723,14.0
label_59118001,0.2631578947368421,0.9444444444444444,0.4116222760290557,90.0
label_59931005,0.23202614379084968,0.9181034482758621,0.37043478260869567,464.0
label_61277005,0.09090909090909091,0.3333333333333333,0.14285714285714285,3.0
label_61721007,0.12452830188679245,0.7415730337078652,0.21324717285945072,89.0
label_63593006,0.0,0.0,0.0,0.0
label_6374002,0.1615720524017467,0.5873015873015873,0.2534246575342466,63.0
label_65778007,0.0,0.0,0.0,1.0
label_67741000119109,0.0,0.0,0.0,0.0
label_67751000119106,0.0,0.0,0.0,3.0
label_698252002,0.08785046728971962,0.3949579831932773,0.1437308868501529,119.0
label_713422000,0.049586776859504134,0.13333333333333333,0.07228915662650602,45.0
label_713426002,0.08478802992518704,0.8095238095238095,0.15349887133182843,42.0
label_713427006,0.36923076923076925,0.993103448275862,0.5383177570093458,145.0
label_733534002,0.4606741573033708,0.9534883720930233,0.6212121212121212,43.0
label_74390002,0.08571428571428572,0.42857142857142855,0.14285714285714285,7.0
label_75532003,0.1111111111111111,0.2857142857142857,0.16,7.0
label_77867006,0.0,0.0,0.0,2.0
label_81898007,0.2127659574468085,0.8333333333333334,0.3389830508474576,12.0
label_89792004,0.2857142857142857,0.9,0.43373493975903615,20.0
micro avg,0.3270172066904898,0.8191049266641595,0.46742209631728043,13295.0
macro avg,0.1372691540402605,0.40927506123843627,0.1935687393925291,13295.0
weighted avg,0.42890635138053024,0.8191049266641595,0.539560142506295,13295.0
samples avg,0.4204666646055542,0.855157707508955,0.5268121333562668,13295.0
