,precision,recall,f1-score,support
label_10370003,0.9937888198757764,0.8791208791208791,0.9329446064139941,182.0
label_106068003,0.5581395348837209,0.7741935483870968,0.6486486486486487,31.0
label_111288001,0.015151515151515152,1.0,0.029850746268656716,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.10064935064935066,0.45588235294117646,0.16489361702127658,68.0
label_13640000,0.07692307692307693,0.15789473684210525,0.10344827586206896,19.0
label_164865005,0.23076923076923078,0.16666666666666666,0.1935483870967742,18.0
label_164873001,0.33816425120772947,0.5882352941176471,0.4294478527607362,119.0
label_164889003,0.20529270248596632,0.9377289377289377,0.3368421052631579,273.0
label_164890007,0.7764309764309765,0.9238782051282052,0.8437614343212587,1248.0
label_164896001,0.7,0.875,0.7777777777777778,8.0
label_164909002,0.2602739726027397,0.5135135135135135,0.34545454545454546,37.0
label_164912004,0.11688311688311688,0.36,0.17647058823529413,25.0
label_164917005,0.5514018691588785,0.33146067415730335,0.41403508771929826,178.0
label_164930006,0.24829931972789115,0.5572519083969466,0.34352941176470586,131.0
label_164931005,0.0,0.0,0.0,25.0
label_164934002,0.5915267785771383,0.7027540360873694,0.6423611111111112,1053.0
label_164937009,0.11290322580645161,0.28,0.16091954022988506,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.13142857142857142,0.575,0.21395348837209302,40.0
label_17366009,0.0007230657989877079,1.0,0.001445086705202312,1.0
label_195042002,0.0,0.0,0.0,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.06666666666666667,0.5,0.11764705882352941,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.24,0.16216216216216217,0.1935483870967742,37.0
label_251120003,0.0136986301369863,1.0,0.02702702702702703,2.0
label_251146004,0.36,0.1232876712328767,0.1836734693877551,146.0
label_251164006,0.0005214670606640013,1.0,0.0010423905489923557,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.004280363830925628,0.8888888888888888,0.008519701810436636,9.0
label_251173003,0.001075268817204301,1.0,0.0021482277121374865,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.00021598272138228941,1.0,0.0004318721658389117,1.0
label_251198002,0.11428571428571428,0.7272727272727273,0.19753086419753085,11.0
label_251199005,0.18181818181818182,0.058823529411764705,0.08888888888888889,34.0
label_251205003,0.3333333333333333,0.11764705882352941,0.17391304347826086,17.0
label_251223006,0.5,0.15625,0.23809523809523808,32.0
label_270492004,0.61,0.7093023255813954,0.6559139784946236,172.0
label_27885002,0.09090909090909091,0.07692307692307693,0.08333333333333333,13.0
label_284470004,0.18944844124700239,0.4114583333333333,0.2594417077175698,192.0
label_29320008,0.23404255319148937,0.5,0.3188405797101449,22.0
label_365413008,0.1565040650406504,0.7475728155339806,0.25882352941176473,103.0
label_39732003,0.5567765567765568,0.6031746031746031,0.579047619047619,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
label_426177001,0.9317206398751463,0.9774866966844045,0.9540551338393928,2443.0
label_426183003,0.002531645569620253,0.5,0.005037783375314861,2.0
label_426627000,0.06666666666666667,0.5,0.11764705882352941,2.0
label_426648003,0.007444168734491315,0.75,0.014742014742014743,4.0
label_426664006,0.0022148394241417496,0.6666666666666666,0.004415011037527594,3.0
label_426761007,0.7603305785123967,0.8518518518518519,0.8034934497816594,108.0
label_426783006,0.8798206278026905,0.790491539081386,0.83276740237691,1241.0
label_426995002,0.0,0.0,0.0,9.0
label_427084000,0.9189443920829407,0.935700575815739,0.927246790299572,1042.0
label_427172004,0.5,0.7419354838709677,0.5974025974025974,155.0
label_427393009,0.2709497206703911,0.5201072386058981,0.3562901744719926,373.0
label_428417006,0.1506849315068493,0.6,0.24087591240875914,55.0
label_428750005,0.1625615763546798,0.5689655172413793,0.25287356321839083,174.0
