label,precision,recall,f1-score,support
label_10370003,0.9344262295081968,0.9395604395604396,0.936986301369863,182.0
label_106068003,0.5476190476190477,0.7419354838709677,0.6301369863013698,31.0
label_111288001,0.14285714285714285,1.0,0.25,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.25609756097560976,0.3088235294117647,0.28,68.0
label_13640000,0.06818181818181818,0.15789473684210525,0.09523809523809523,19.0
label_164865005,0.22857142857142856,0.4444444444444444,0.3018867924528302,18.0
label_164873001,0.40476190476190477,0.42857142857142855,0.4163265306122449,119.0
label_164889003,0.21269579554822754,0.945054945054945,0.3472409152086137,273.0
label_164890007,0.7890835579514824,0.938301282051282,0.8572474377745242,1248.0
label_164896001,0.5,0.875,0.6363636363636364,8.0
label_164909002,0.2653061224489796,0.35135135135135137,0.3023255813953488,37.0
label_164912004,0.125,0.24,0.1643835616438356,25.0
label_164917005,0.4875,0.6573033707865169,0.5598086124401914,178.0
label_164930006,0.3630952380952381,0.46564885496183206,0.4080267558528428,131.0
label_164931005,0.125,0.2,0.15384615384615385,25.0
label_164934002,0.5712209302325582,0.7464387464387464,0.6471799094277481,1053.0
label_164937009,0.08860759493670886,0.28,0.1346153846153846,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.16296296296296298,0.55,0.25142857142857145,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.14285714285714285,0.1111111111111111,0.125,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.0967741935483871,0.75,0.17142857142857143,4.0
label_233897008,0.1,0.25,0.14285714285714285,4.0
label_233917008,0.1588785046728972,0.4594594594594595,0.2361111111111111,37.0
label_251120003,0.03571428571428571,0.5,0.06666666666666667,2.0
label_251146004,0.2676767676767677,0.363013698630137,0.3081395348837209,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.022222222222222223,0.5,0.0425531914893617,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.19230769230769232,0.45454545454545453,0.2702702702702703,11.0
label_251199005,0.1717171717171717,0.5,0.2556390977443609,34.0
label_251205003,0.058333333333333334,0.4117647058823529,0.10218978102189781,17.0
label_251223006,0.17757009345794392,0.59375,0.2733812949640288,32.0
label_270492004,0.6386138613861386,0.75,0.6898395721925134,172.0
label_27885002,0.21739130434782608,0.38461538461538464,0.2777777777777778,13.0
label_284470004,0.27472527472527475,0.390625,0.3225806451612903,192.0
label_29320008,0.34615384615384615,0.4090909090909091,0.375,22.0
label_365413008,0.22344322344322345,0.5922330097087378,0.324468085106383,103.0
label_39732003,0.5529100529100529,0.8293650793650794,0.6634920634920635,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.1111111111111111,0.09090909090909091,0.1,11.0
label_426177001,0.9546742209631728,0.9656160458452722,0.9601139601139601,2443.0
label_426183003,0.015384615384615385,0.5,0.029850746268656716,2.0
label_426627000,0.25,0.5,0.3333333333333333,2.0
label_426648003,0.038461538461538464,0.25,0.06666666666666667,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.7627118644067796,0.8333333333333334,0.7964601769911505,108.0
label_426783006,0.8206078576723499,0.8920225624496374,0.8548262548262548,1241.0
label_426995002,0.05714285714285714,0.2222222222222222,0.09090909090909091,9.0
label_427084000,0.9376181474480151,0.9520153550863724,0.9447619047619048,1042.0
label_427172004,0.5161290322580645,0.7225806451612903,0.6021505376344086,155.0
label_427393009,0.4664310954063604,0.353887399463807,0.4024390243902439,373.0
label_428417006,0.26153846153846155,0.3090909090909091,0.2833333333333333,55.0
label_428750005,0.19014084507042253,0.46551724137931033,0.27,174.0
label_429622005,0.41627906976744183,0.6654275092936803,0.5121602288984263,269.0
label_445118002,0.3055555555555556,0.8,0.44221105527638194,55.0
label_445211001,0.0,0.0,0.0,2.0
label_446358003,0.5,0.42857142857142855,0.46153846153846156,7.0
label_446813000,0.0,0.0,0.0,3.0
label_47665007,0.40145985401459855,0.8527131782945736,0.5459057071960298,129.0
label_49578007,0.0,0.0,0.0,1.0
label_50799005,0.0,0.0,0.0,4.0
label_54016002,0.0,0.0,0.0,5.0
label_54329005,0.2,0.375,0.2608695652173913,8.0
label_55827005,0.40043763676148797,0.6828358208955224,0.5048275862068966,804.0
label_55930002,0.46579804560260585,0.6569678407350689,0.5451080050825922,653.0
label_5609005,0.2,0.5,0.2857142857142857,8.0
label_57054005,0.25,0.14285714285714285,0.18181818181818182,14.0
label_59118001,0.36363636363636365,0.8,0.5,90.0
label_59931005,0.48024316109422494,0.6810344827586207,0.5632798573975044,464.0
label_61277005,0.0,0.0,0.0,3.0
label_61721007,0.26627218934911245,0.5056179775280899,0.3488372093023256,89.0
label_63593006,0.0,0.0,0.0,0.0
label_6374002,0.30701754385964913,0.5555555555555556,0.3954802259887006,63.0
label_65778007,0.0,0.0,0.0,1.0
label_67741000119109,0.0,0.0,0.0,0.0
label_67751000119106,0.02564102564102564,0.3333333333333333,0.047619047619047616,3.0
label_698252002,0.45263157894736844,0.36134453781512604,0.40186915887850466,119.0
label_713422000,0.1282051282051282,0.4444444444444444,0.19900497512437812,45.0
label_713426002,0.3283582089552239,0.5238095238095238,0.4036697247706422,42.0
label_713427006,0.5789473684210527,0.9103448275862069,0.707774798927614,145.0
label_733534002,0.6470588235294118,0.7674418604651163,0.7021276595744681,43.0
label_74390002,0.5,0.5714285714285714,0.5333333333333333,7.0
label_75532003,0.1111111111111111,0.14285714285714285,0.125,7.0
label_77867006,0.0,0.0,0.0,2.0
label_81898007,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
label_89792004,0.41304347826086957,0.95,0.5757575757575758,20.0
