,precision,recall,f1-score,support
label_10370003,0.8958333333333334,0.945054945054945,0.9197860962566845,182.0
label_106068003,0.24742268041237114,0.7741935483870968,0.375,31.0
label_111288001,0.16666666666666666,1.0,0.2857142857142857,1.0
label_11157007,0.0,0.0,0.0,0.0
label_111975006,0.08466819221967964,0.5441176470588235,0.14653465346534653,68.0
label_13640000,0.07608695652173914,0.3684210526315789,0.12612612612612611,19.0
label_164865005,0.17073170731707318,0.3888888888888889,0.23728813559322035,18.0
label_164873001,0.1798165137614679,0.8235294117647058,0.29518072289156627,119.0
label_164889003,0.1900355871886121,0.978021978021978,0.3182359952324195,273.0
label_164890007,0.6982515510434292,0.9919871794871795,0.8195961602118503,1248.0
label_164896001,0.5,0.875,0.6363636363636364,8.0
label_164909002,0.19117647058823528,0.7027027027027027,0.30057803468208094,37.0
label_164912004,0.10975609756097561,0.36,0.16822429906542055,25.0
label_164917005,0.24617737003058104,0.9044943820224719,0.3870192307692308,178.0
label_164930006,0.14366998577524892,0.7709923664122137,0.2422062350119904,131.0
label_164931005,0.050505050505050504,0.2,0.08064516129032258,25.0
label_164934002,0.45871097683786505,0.8651471984805318,0.5995393221454426,1053.0
label_164937009,0.057692307692307696,0.48,0.10300429184549356,25.0
label_164942001,0.0,0.0,0.0,0.0
label_164947007,0.0,0.0,0.0,7.0
label_17338001,0.13372093023255813,0.575,0.2169811320754717,40.0
label_17366009,0.0,0.0,0.0,1.0
label_195042002,0.0625,0.2222222222222222,0.0975609756097561,9.0
label_195060002,0.0,0.0,0.0,1.0
label_195101003,0.0,0.0,0.0,0.0
label_233892002,0.09523809523809523,0.5,0.16,4.0
label_233897008,0.0,0.0,0.0,4.0
label_233917008,0.23809523809523808,0.40540540540540543,0.3,37.0
label_251120003,0.0,0.0,0.0,2.0
label_251146004,0.1494435612082671,0.6438356164383562,0.24258064516129033,146.0
label_251164006,0.0,0.0,0.0,3.0
label_251166008,0.0,0.0,0.0,2.0
label_251170000,0.0,0.0,0.0,9.0
label_251173003,0.0,0.0,0.0,1.0
label_251180001,0.0,0.0,0.0,0.0
label_251187003,0.0,0.0,0.0,1.0
label_251198002,0.11428571428571428,0.7272727272727273,0.19753086419753085,11.0
label_251199005,0.16666666666666666,0.38235294117647056,0.23214285714285715,34.0
label_251205003,0.14705882352941177,0.29411764705882354,0.19607843137254902,17.0
label_251223006,0.13636363636363635,0.5625,0.21951219512195122,32.0
label_270492004,0.3482142857142857,0.9069767441860465,0.5032258064516129,172.0
label_27885002,0.08064516129032258,0.38461538461538464,0.13333333333333333,13.0
label_284470004,0.09194673430564362,0.7552083333333334,0.16393442622950818,192.0
label_29320008,0.1595744680851064,0.6818181818181818,0.25862068965517243,22.0
label_365413008,0.1068062827225131,0.9902912621359223,0.19281663516068054,103.0
label_39732003,0.3955479452054795,0.9166666666666666,0.5526315789473685,252.0
label_418818005,0.0,0.0,0.0,0.0
label_425856008,0.12962962962962962,0.6363636363636364,0.2153846153846154,11.0
label_426177001,0.90744920993228,0.9873106835857552,0.9456969221721231,2443.0
label_426183003,0.0,0.0,0.0,2.0
label_426627000,0.0,0.0,0.0,2.0
label_426648003,0.16666666666666666,0.5,0.25,4.0
label_426664006,0.0,0.0,0.0,3.0
label_426761007,0.5,0.9259259259259259,0.6493506493506493,108.0
label_426783006,0.7972483707458363,0.887187751813054,0.8398169336384439,1241.0
label_426995002,0.03333333333333333,0.1111111111111111,0.05128205128205128,9.0
label_427084000,0.849535080304311,0.9644913627639156,0.903370786516854,1042.0
label_427172004,0.34759358288770054,0.8387096774193549,0.4914933837429111,155.0
label_427393009,0.09908883826879271,0.9329758713136729,0.17915057915057914,373.0
label_428417006,0.11078717201166181,0.6909090909090909,0.19095477386934673,55.0
label_428750005,0.12954333643988816,0.7988505747126436,0.22293504410585405,174.0
label_429622005,0.2291079812206573,0.9070631970260223,0.3658170914542729,269.0
label_445118002,0.2513089005235602,0.8727272727272727,0.3902439024390244,55.0
label_445211001,0.0,0.0,0.0,2.0
label_446358003,0.18518518518518517,0.7142857142857143,0.29411764705882354,7.0
label_446813000,0.0,0.0,0.0,3.0
label_47665007,0.24165029469548133,0.9534883720930233,0.38557993730407525,129.0
label_49578007,0.0,0.0,0.0,1.0
